Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,LOG,Arena,Notes
Mon Mar 29 2021,10:00p,Chicago Bulls,102,Golden State Warriors,116,Box Score,,0,2:05,Chase Center,
Mon Mar 29 2021,10:00p,Milwaukee Bucks,105,Los Angeles Clippers,129,Box Score,,0,2:04,STAPLES Center,
Tue Mar 30 2021,7:00p,Charlotte Hornets,114,Washington Wizards,104,Box Score,,0,2:15,Capital One Arena,
Tue Mar 30 2021,9:00p,Philadelphia 76ers,95,Denver Nuggets,104,Box Score,,3574,2:03,Ball Arena,
Tue Mar 30 2021,10:00p,Orlando Magic,103,Los Angeles Clippers,96,Box Score,,0,2:10,STAPLES Center,
Tue Mar 30 2021,10:00p,Atlanta Hawks,110,Phoenix Suns,117,Box Score,,3173,2:08,Phoenix Suns Arena,
Wed Mar 31 2021,7:00p,Portland Trail Blazers,124,Detroit Pistons,101,Box Score,,750,2:14,Little Caesars Arena,
Wed Mar 31 2021,7:00p,Miami Heat,92,Indiana Pacers,87,Box Score,,0,2:15,Bankers Life Fieldhouse,
Wed Mar 31 2021,7:30p,Dallas Mavericks,113,Boston Celtics,108,Box Score,,2298,2:20,TD Garden,
Wed Mar 31 2021,7:30p,Houston Rockets,108,Brooklyn Nets,120,Box Score,,1773,2:10,Barclays Center,
Wed Mar 31 2021,8:00p,Utah Jazz,111,Memphis Grizzlies,107,Box Score,,2314,2:20,FedEx Forum,
Wed Mar 31 2021,8:00p,New York Knicks,101,Minnesota Timberwolves,102,Box Score,,0,2:07,Target Center,
Wed Mar 31 2021,8:00p,Toronto Raptors,103,Oklahoma City Thunder,113,Box Score,,0,2:12,Chesapeake Energy Arena,
Wed Mar 31 2021,8:30p,Sacramento Kings,106,San Antonio Spurs,120,Box Score,,2802,2:11,AT&T Center,
Wed Mar 31 2021,10:00p,Milwaukee Bucks,112,Los Angeles Lakers,97,Box Score,,0,2:27,STAPLES Center,
Wed Mar 31 2021,10:00p,Chicago Bulls,116,Phoenix Suns,121,Box Score,,3459,2:08,Phoenix Suns Arena,
